ชื่อ,วิทยาเขต,โดเมน 
สถาบันพระบรมราชชนก,ชลบุรี,http://www.bnc.ac.th
สถาบันพระบรมราชชนก,ราชบุรี,http://www.bcnr.ac.th
สถาบันพระบรมราชชนก,มหาสารคาม,http://202.129.54.82/smncweb
สถาบันพระบรมราชชนก,อุตรดิตถ์,https://unc.ac.th
สถาบันพระบรมราชชนก,สุราษฎร์ธานี,https://sites.google.com/a/bcnsurat.ac.th/boromarajonani-college-suratthani
สถาบันพระบรมราชชนก,เพชรบุรี,https://www.pckpb.ac.th
สถาบันพระบรมราชชนก,ตรัง,https://www.bcnt.ac.th
สถาบันพระบรมราชชนก,อุดรธานี,https://www.bcnu.ac.th
สถาบันพระบรมราชชนก,ชัยนาท,http://www.bcnchainat.ac.th
สถาบันพระบรมราชชนก,พะเยา,http://www.bcnpy.ac.th
สถาบันพระบรมราชชนก,พระพุทธบาท,https://www.bcnpb.ac.th
สถาบันพระบรมราชชนก,นครศรีธรรมราช,https://www.bcnnakhon.ac.th
สถาบันพระบรมราชชนก,นนทบุรี,http://www.bcnnon.ac.th
สถาบันพระบรมราชชนก,สุพรรณบุรี,https://www.snc.ac.th
สถาบันพระบรมราชชนก,เชียงใหม่,https://www.bcnc.ac.th
สถาบันพระบรมราชชนก,จักรีรัช,http://www.ckr.ac.th
สถาบันพระบรมราชชนก,ยะลา,https://www.bcnyala.ac.th
สถาบันพระบรมราชชนก,ขอนแก่น,https://www2.bcnkk.ac.th
สถาบันพระบรมราชชนก,นพรัตน์วชิระ,https://www.bcnnv.ac.th
สถาบันพระบรมราชชนก,สุรินทร์,https://webs.bcnsurin.ac.th
สถาบันพระบรมราชชนก,แพร่,https://www.bcnph.ac.th
สถาบันพระบรมราชชนก,ชลบุรี,https://www.scphc.ac.th
สถาบันพระบรมราชชนก,ขอนแก่น,https://www.scphkk.ac.th
สถาบันพระบรมราชชนก,ยะลา,https://yala.ac.th
สถาบันพระบรมราชชนก,พิษณุโลก,https://www.scphpl.ac.th
สถาบันพระบรมราชชนก,ตรัง,https://scphtrang.ac.th
สถาบันพระบรมราชชนก,อุบลราชธานี,https://scphub.ac.th
สถาบันพระบรมราชชนก,สุพรรณบุรี,https://www.phcsuphan.ac.th
สถาบันพระบรมราชชนก,กาญจนาภิเษก,https://www.kmpht.ac.th
สถาบันพระบรมราชชนก,ปราจีนบุรี,https://www.acttm.ac.th
สถาบันพระบรมราชชนก,หลัก,https://pi.ac.th
สถาบันบัณฑิตพัฒนศิลป์,หลัก,https://www.bpi.ac.th
สถาบันบัณฑิตพัฒนศิลป์,วิทยาลัยช่างศิลป,https://cfa.bpi.ac.th
สถาบันบัณฑิตพัฒนศิลป์,วิทยาช่างศิลปสุพรรณบุรี,https://cfasp.bpi.ac.th
สถาบันบัณฑิตพัฒนศิลป์,วิทยาลัยช่างศิลปนครศรีธรรมราช,https://cfans.bpi.ac.th
สถาบันการบินพลเรือน,หลัก,https://rpca.ac.th
ศูนย์ฝึกพาณิชย์นาวี,หลัก,https://www.crma.ac.th
วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า,หลัก,http://www.rtna.ac.th
วิทยาลัยพยาบาลทหารอากาศ,หลัก,http://nkrafa.ac.th
วิทยาลัยพยาบาลตำรวจ,หลัก,https://www.cgsc.ac.th
วิทยาลัยพยาบาลกองทัพเรือ,หลัก,https://www.rtncn.ac.th
วิทยาลัยพยาบาลกองทัพบก,หลัก,https://rtanc.ac.th
วิทยาลัยการชลประทาน,หลัก,https://www.irricollege.ac.th
โรงเรียนเสนาธิการทหารบก,หลัก,http://nursepolice.go.th
โรงเรียนนายเรืออากาศนวมินทกษัตริยาธิราช,หลัก,https://nkrafa.rtaf.mi.th
โรงเรียนนายเรือ,หลัก,http://www.pcm.ac.th
โรงเรียนนายร้อยพระจุลจอมเกล้า,หลัก,http://www.mmtc.ac.th
โรงเรียนนายร้อยตำรวจ,หลัก,https://www.catc.or.th
